Me: 	EMILY?!
    Me: 	(Hmm... Since I've been here, I haven't seen anyone by the campsite.)
    Me: 	(Which means there's only one place Emily could be...)
    Me: 	(Hiding out at the gazebo.)
    Narr:	Upon approaching the gazebo...
    Narr:	You spot someone sitting there in the darkness...
    Me: 	(Is that Emily?)
    Me: 	(It is!)
    Narr:	Getting even closer to the gazebo, you hear crying.
    Me: 	(Is Emily... crying?)
    Me: 	Uhh... Hey, Em.
    Narr:	Realizing she's no longer alone, Emily looks shocked.
    Emily:	*Sniff* Hey, Dennis. What's... up?
    Me: 	Uhh... Not much.
    Me: 	Are you okay?
        Emily:	Yeah, I'm fine. Why do you ask?
            Emily:	Crying? No way. I just have allergies...
                Emily:	Crying? No way. I just have allergies...
                    Me: 	Sure, allergies are awful. Uhh... Can I ask you something?
                        Emily:	Sure... what is it?
                            Me: 	Did you peek into my bedroom before coming out here?
                            Me: 	Do you know... Who tied me up the other night?
            Emily:	It's nighttime. You probably heard an animal...
                Emily:	It's nighttime. You probably heard an animal...
                    Me: 	Yeah... Must have been. Uhh... Can I ask you something?
                        Emily:	Sure... What is it?
                            Me: 	Did you peek into my bedroom before coming out here?
                            Me: 	Do you know... Who tied me up the other night?
    Emily:	No way! I wouldn't violate your privacy like that...
    Me: 	Really?
    Me: 	You've already proven you don't know what personal space is.
    Emily:	Ugh! Rude!
    Me: 	If you weren't spying on me, why was my door open?
    Emily:	Maybe you forgot to close it all the way!
    Me: 	No, no. I'm certain I closed it...
    Emily:	I can't believe you don't trust me!
    Me: 	That's only one reason I don't trust you...
    Me: 	Look, I know you tied me up the other night!
    Emily:	What?! You're insane!
    Emily:	You really think I'd do something like that?
    Me: 	So, you didn't do it?
    Me: 	Then, do you maybe know who would do that?
    Emily:	I might... 
    Emily:	But, why would I tell you while you're treating me like this?
    Me: 	I...
    Me: 	*Sigh* You're right.
    Me: 	(I need to cool it with the "bad cop" schtick.)
    Emily:	Is there anything you'd like to say to me?
    Me: 	I'm sorry for my outburst.
    Me: 	I'm just on edge since...
    Emily:	Since someone tied you up.
    Me: 	I get it. And, apology accepted.
    Me: 	So...
    Emily:	I might know something...
    Emily:	Talk to me tomorrow.
    Emily:	Your accusations exhausted me.
    Me: 	Oh, come on...
    Emily:	Nope.
    Emily:	If you want to know, we can talk in the morning.
    Emily:	Okay?
    Me: 	Sure...
    Emily:	Night, then.
    Me: 	Night.
    Narr:	You sit at the gazebo as Emily leaves back toward the house.
    Narr:	The mystery hijacks your mind once more.
    Me: 	*Sigh* (I really shouldn't have sprung that accusation on her.)
    Me: 	(Maybe I would have learned more...)
    Me: 	(Oh well. I just need to wait until tomorrow.)
    Me: 	*Yawn*
    Me: 	(My bed is waiting.)
    Emily:	Do I know...
    Emily:	What?!
    Emily:	Hmm... Actually...
    Me: 	You do know something?
    Emily:	I might not know exactly...
    Emily:	But, I have my suspicions.
    Emily:	(That bitch...)
    Me: 	Well, can you spill the beans already?
    Emily:	Ugh... Fine.
    Emily:	Since you're so stubborn--
    Emily:	But, I don't want to come off as a snitch...
    Emily:	So, I'll just tell you this.
    Me: 	Tell me what?
    Emily:	Well...
    Emily:	There is someone at camp who would want to do that.
    Me: 	I'm aware...
    Emily:	Someone close to you.
    Me: 	(I've already investigated so many people...)
    Me: 	(I must have missed something...)
    Me: 	(After all...)
    Me: 	(My deductive reasoning skills have been failing me recently.)
    Emily:	*Giggle* Got some gears turning?
    Me: 	Yeah. Thanks, Em.
    Me: 	I think I'm gonna head back to bed.
    Emily:	Okay, I'll stay out here a little bit longer.
    Emily:	Dennis...
    Emily:	Don't worry about me.
    Emily:	I'll be okay.
    Me: 	Okay. Good night, Emily.
    Emily:	Night, Dennis.
    Narr:	As you walk away from the gazebo...
    Narr:	The mystery consumes your mind once more.
    Me: 	(I really need to sleep on this new information.)
    Emily:	*Sigh* I'm just tired of feeling like a ghost.
    Emily:	Even though I spend my summers here, trying to help.
    Emily:	I'm invisible to her.
    Me: 	Emily... Do you really feel that way?
    Emily:	Yes!
    Emily:	And I'm tired of it.
    Emily:	Kiara is her golden girl.
    Emily:	While I'm just seen as the little girl.
    Me: 	I'm sorry for not making you feel more seen.
    Emily:	It's okay. What can I expect from someone who's barely here?
    Me: 	I'd be here more often if I could.
    Emily:	*Sniff* I know...
    Emily:	I just hope we have more time to hang out.
    Me: 	We will...
    Me: 	Actually... Do you want to help me investigate something?
    Emily:	Sure! What is it?
    Me: 	Did you... tie me up the other night? Out in the woods?
    Emily:	*Gasp* What?! Is that your big mystery?
    Emily:	You think--
    Emily:	Nooooo. No way!
    Me: 	So, you didn't do that?
    Emily:	Why would you think I'd do something like that?
    Me: 	I just thought...
    Emily:	You thought I wanted to spend time with you so badly...
    Emily:	...that I'd resort to tying you down...
    Emily:	...to make sure you didn't get away?
    Me: 	When you say it like that it sounds kinda dumb.
    Emily:	*Giggle* Yeah, it sounds real dumb.
    Me: 	I get it, I'm not always the sharpest tool in the shed...
    Emily:	Aww... Here, I can give you some help.
    Emily:	You know...
    Emily:	There is someone at camp who would want to do something like that.
    Emily:	Someone whose name starts with a...
    Emily:	"K."
    Me: 	Kiara was one of my main suspects...
    Emily:	Then, it looks like you need to talk to her.
    Emily:	(Kiara is so... Urgh!)
    Me: 	It looks like I do.
    Emily:	I think I'm going to head back to bed, now.
    Emily:	I'm getting tired.
    Emily:	(Especially of this conversation...)
    Me: 	Okay, I'll stay out here a bit longer.
    Me: 	You gonna be okay?
    Emily:	Yeah, I'll be fine.
    Emily:	Thanks for listening to me, Dennis.
    Me: 	Anytime. Good night, Em.
    Emily:	Night, Dennis.
    Narr:	As Emily walks away from the gazebo...
    Narr:	The mystery consumes your mind once more.
    Narr:	You think about it a bit longer...
    Narr:	Eventually, you stand up and head back to the house.
    Me: 	(I really need to sleep on this new information.)
    Narr:	You quickly pull your pants up.
    Narr:	Not a few seconds later, you exit your room.
    Me: 	(Shit!)
    Me: 	(Who the hell was that?!)
    Me: 	(It looked like Emily... It had to have been her.)
    Me: 	(But... why?)
    Me: 	(Was she watching me... jacking off?)
    Me: 	*Shudders* (Goddamn it... I have to go investigate this.)
    Me: 	(I couldn't really tell what she was doing...)
    Me: 	(It looked like... No. It couldn't have been.)
    Me: 	(If I waste any more time, she'll get away!)
    Me: 	(Where did she go?)
    Narr:	Hearing a noise downstairs, you quickly follow its source.
    Me: 	(Downstairs!)
    Narr:	Upon arriving downstairs, you don't see the elusive peeper.
    Me: 	(Where did she go?)
    Me: 	(She's definitely not inside...)
    Me: 	(But, I didn't see her go out the front door.)
    Narr:	At that moment, you feel a slight draft coming from behind you.
    Me: 	(It sure is chilly...)
    Me: 	(Aha! She must have gone that way.)
    Narr:	Realizing she went out the back door, toward the deck, you follow.
    Me: 	(Was it really Emily? It sure looked like her...)
    Me: 	(But it was pretty dark...)
    Narr:	You enter the Community Area, but see nobody in the room.
    Narr:	Once again, you have a hunch she escaped out the back door.
    Me: 	(So weird... It looked like her hands were...)
    Me: 	(Was she actually... No, no way.)
    Me: 	(I really don't need that on my mind right now.)
    Narr:	You exit through the back door of the Community Area.
    Narr:	Arriving at the deck, you look around...
    Me: 	(I wonder where she--)
    Narr:	Almost immediately, you spot Emily trying to hide behind the furniture.
    Me: 	Uhh...
    Me: 	Emily? What are you doing?
    Emily:	Oh! Hey Dennis, I was just...
    Emily:	Uh... Just looking for something I left out here.
    Me: 	(She's a terrible bluffer...)
    Emily:	Here it is! My favorite... leaf.
    Narr:	Sensing Emily's nervousness, you jump in to calm the situation.
    Me: 	Relax, Emily...
    Emily:	(Crap, he must have seen me...)
    Me: 	I just came out here for some air.
    Me: 	(I finally have her where I want her...)
    Me: 	(I CAN FINALLY GET SOME ANSWERS!)
    Me: 	Really is nice out here, so late at night.
    Emily:	Yep, it's really peaceful.
    Me: 	Uh... So, how have you been?
    Emily:	Good.
    Me: 	What were you up to before you came out here?
    Me: 	Something wake you up?
    Emily:	I have a hard time falling asleep, sometimes.
    Emily:	*Nervous chuckle* Guess it's just one of those nights.
    Me: 	Emily... Can I ask you something?
        Emily:	Uhh... Sure, Dennis. What is it?
                Emily:	Maybe... Maybe I have been, a little.
                        Emily:	Well... I have a secret.
                                Emily:	Well... What do I get for telling you?
                                        Emily:	I waaaant... To spend more time with you.
                            Me: 	I bet I know what it is. You tied me up the other night!
                        Emily:	Sure... What is it?
                            Me: 	Do you know who tied me up the other night?
                            Me: 	Were you watching me through the crack in my door?
                Emily:	How could I have been watching you, if I was out here, silly?
                    Me: 	Look, I know you just got out here. Give me a break Em...
                        Emily:	Oh, okay. I did... see you. But, it was an accident!
                            Me: 	Sure. Accidents happen. Was the other night also an accident?
                                Emily:	Accident? The other night? What are you talking about?
                                    Me: 	You know what I'm talking about! You tied me up!
                                    Me: 	So, you didn't "accidentally" tie me up the other night?
                            Me: 	If it WAS an accident... why did I see you... touching yourself?
                    Me: 	Suuuuure... That leaf was really important, right?
                        Emily:	Yep! He's my favorite... leaf. His name is Leafy.
                            Me: 	Leafy, huh? I knew a guy with a similar name a while back.
                                Emily:	Did you? That's craaaazy. Is there something else? I'd like to go back to bed.
                                    Me: 	Yeah, there was one other thing... Did you tie me up the other night?
                                    Me: 	Does Leafy know... who tied me up the other night?
    Emily:	I don't like how you're talking to me, Dennis...
    Me: 	I don't like that someone tied me up!
    Emily:	(Dennis really is bothered by this...)
    Narr:	Despite her initial fright, Emily smirks...
    Narr:	Shifting the tone of their conversation.
    Emily:	I might know something...
    Me: 	I'd really appreciate it if you told me, Em...
    Emily:	I don't want to come off as a snitch...
    Emily:	So, I'll tell you this.
    Me: 	Tell me what?
    Emily:	Well...
    Emily:	There is someone at camp who would want to do that.
    Me: 	I'm aware...
    Emily:	Someone close to you.
    Me: 	(I've already investigated so many people...)
    Me: 	(I must have missed something...)
    Me: 	(After all...)
    Me: 	(my deductive reasoning skills have been failing me recently.)
    Emily:	*Giggle* Got some gears turning?
    Me: 	Yeah. Thanks, Em.
    Me: 	And, sorry for scaring you.
    Emily:	It's okay. (I know you're the one who's really scared here.)
    Emily:	Anyway, I'm gonna head back to bed.
    Emily:	Night!
    Me: 	Good night, Em.
    Narr:	You spend a bit more time outside, collecting your thoughts.
    Narr:	The mystery consumes your mind once more.
    Me: 	(I really need to sleep on this new information.)
    Emily:	Okay, pinkie promise?
    Me: 	Pinkie promise.
    Emily:	Well...
    Emily:	The secret is...
    Emily:	There's someone at camp...
    Emily:	Who's secretly obsessed with you.
    Me: 	Obsessed?
    Emily:	Someone close to you.
    Emily:	Someone... Who did something to you the other night.
    Me: 	I could have guessed that...
    Emily:	Someone whose name starts with a...
    Emily:	"K."
    Me: 	Kiara was one of my main suspects...
    Emily:	Then, it looks like you need to talk to her.
    Emily:	(Kiara is so... Urgh!)
    Me: 	It looks like I do.
    Emily:	I think I'm going to head back to bed, now.
    Emily:	I'm getting tired.
    Emily:	(Especially of this conversation...)
    Me: 	Yeah, it's getting late.
    Emily:	Remember our pinkie promise, okay?
    Me: 	I will.
    Me: 	Good night, Em.
    Emily:	Night-night!
    Narr:	You spend a bit more time outside, collecting your thoughts.
    Narr:	The mystery hijacks your mind once more.
    Me: 	*Sigh* (How am I going to get a confession out of Kiara?)
    Me: 	*Yawn*
    Me: 	(I'll figure that out tomorrow.)
    Emily:	No way!
    Emily:	I wasn't watching you... I swear!
    Me: 	Then how was my door even open?
    Emily:	It was open when I walked by.
    Emily:	I looked in to see if you were asleep...
    Emily:	Maybe you didn't close your door all the way, and it opened.
    Me: 	Convenient excuse...
    Emily:	It's not an excuse, it's the truth!
    Me: 	Ahem. So, you came out here out of embarrassment?
    Emily:	Yeah...
    Emily:	Can I go back to sleep, now?
    Me: 	Sure, sure...
    Me: 	(I'll need to ask her more, tomorrow.)
    Me: 	(She has to know who tied me up...)
    Emily:	Well, goodnight.
    Me: 	Goodnight, Emily.
    Narr:	You spend a bit more time outside, collecting your thoughts.
    Me: 	*Sigh* (I had a great opportunity to get the truth out of Emily...)
    Me: 	(But, I wasted it asking the wrong questions.)
    Me: 	(What does Emily know?)
    Me: 	*Yawn*
    Me: 	(I'll figure that out tomorrow.)
    Narr:	Emily holds the leaf to her ear, pretending that she's listening.
    Emily:	Mhm. Aha. Okay. You really think we should tell him?
    Me: 	(Has she gone full druid?)
    Emily:	Okay, Leafy says we should tell you.
    Emily:	There's someone at camp...
    Emily:	Who's secretly obsessed with you.
    Me: 	Obsessed?
    Emily:	Someone close to you.
    Emily:	Someone... Who did something to you the other night.
    Me: 	I could have guessed that.
    Emily:	Someone whose name starts with a...
    Emily:	"K."
    Me: 	Kiara was one of my main suspects...
    Emily:	Then, it looks like you need to talk to her.
    Emily:	Leafy says Kiara sucks.
    Me: 	*Chuckle* Does he now?
    Emily:	*Giggle* Yeah.
    Emily:	He also says it's getting late.
    Emily:	I think I'm going to head back to bed, now.
    Emily:	I'm getting tired.
    Me: 	Yeah, I'm gonna head to bed soon, too.
    Emily:	Night-night!
    Me: 	Night, Em.
    Narr:	You spend a bit more time outside, collecting your thoughts.
    Narr:	The mystery hijacks your mind once more.
    Me: 	*Sigh* (How am I going to get a confession out of Kiara?)
    Me: 	*Yawn*
    Me: 	(I'll figure that out tomorrow.)
    Emily:	*Giggle* What? Is that what this is about?
    Emily:	And you think--
    Emily:	Nooooo. No way!
    Me: 	So, you didn't do that?
    Emily:	Why would you think I'd do something like that?
    Me: 	I just thought...
    Emily:	You thought I wanted to spend time with you so badly...
    Emily:	...that I'd resort to tying you down...
    Emily:	...to make sure you didn't get away?
    Me: 	When you say it like that it sounds kinda dumb.
    Emily:	*Giggle* Yeah, it sounds real dumb.
    Me: 	I get it, I'm not always the sharpest tool in the shed...
    Emily:	Aww... Here, I can give you some help.
    Emily:	You know... there is someone at camp who would want to do that.
    Me: 	I'm aware...
    Emily:	Someone close to you.
    Me: 	(I've already investigated so many people...)
    Me: 	(I must have missed something...)
    Me: 	(After all...)
    Me: 	(My deductive reasoning skills have been failing me recently.)
    Emily:	*Giggle* Got some gears turning?
    Me: 	Yeah. Thanks, Em.
    Emily:	Anyway, I'm gonna head back to bed.
    Emily:	Night!
    Me: 	Goodnight, Em.
    Narr:	You spend a bit more time outside, collecting your thoughts.
    Narr:	The mystery consumes your mind once more.
    Me: 	(I really need to sleep on this new information.)
    Emily:	Enough for you isn't enough for me.
    Emily:	When you're off at college, it's so boring here.
    Emily:	And then, you come back for such a short amount of time...
    Me: 	Emily...
    Emily:	It's just not fair.
    Me: 	You're right...
    Me: 	Summer goes by so fast.
    Emily:	It does.
    Emily:	So, you wanna know the secret?
    Me: 	Yeah, I do.
    Emily:	Someone at camp reeeeally likes you.
    Me: 	(Oh shit, does she know about the girls?)
    Me: 	And?
    Emily:	It's someone close to you.
    Emily:	Someone... Who did something to you the other night.
    Me: 	I could have guessed that.
    Emily:	Think about it...
    Emily:	Who knows their way around camp the best?
    Me: 	There are a few people...
    Emily:	*Sigh* Well, just keep thinking it over.
    Emily:	I'd love to spend more time with you, Dennis...
    Emily:	But, I'm getting sleepy.
    Emily:	I'm gonna head off to bed.
    Emily:	Night-night!
    Me: 	Night, Em.
    Narr:	You spend a bit more time outside, collecting your thoughts.
    Narr:	The mystery hijacks your mind once more.
    Me: 	*Sigh* (Is it really who I think it is?)
    Me: 	(I'll have to get a confession out of her, though.)
    Me: 	*Yawn*
    Me: 	(I'll figure that out tomorrow.)
    Emily:	What the hell are you talking about?!
    Me: 	I think you know what I'm talking about.
    Emily:	I might, but why would I tell you what I know...
    Emily:	...after you accuse me like that?
    Me: 	I...
    Me: 	*Sigh* You're right.
    Me: 	(I need to cool it with the "bad cop" schtick.)
    Emily:	Is there anything you'd like to say to me?
    Me: 	I'm sorry for my outburst.
    Me: 	I've just been so on edge since--
    Emily:	Since someone tied you up.
    Emily:	I get it. And, apology accepted.
    Me: 	So...
    Emily:	I might know something...
    Emily:	...but, that will have to wait.
    Emily:	Talk to me tomorrow.
    Emily:	This accusation exhausted me.
    Me: 	Oh come on...
    Emily:	Nope.
    Emily:	If you really wanna know, then we can talk in the morning.
    Emily:	Okay?
    Me: 	Sure...
    Emily:	Night, then.
    Me: 	Night.
    Narr:	You spend a bit more time outside... 
    Narr:	Collecting your thoughts.
    Narr:	The mystery hijacks your mind once more.
    Me: 	*Sigh* (I really shouldn't have sprung that accusation on her.)
    Me: 	(Maybe I would have learned more...)
    Me: 	(Oh well. I just need to wait until tomorrow.)
    Me: 	*Yawn*
    Me: 	(My bed is waiting.)
    Narr:	Emily goes pale as her face contorts into a look of abject horror.
    Emily:	What?! YOU'RE CRAZY!
    Me: 	Emily... I--
    Emily:	NO! How could you say that?!
    Emily:	(Did he really see me?)
    Narr:	In a flash, Emily runs through the back door, disappearing from sight.
    Me: 	(Maybe I shouldn't have been so blunt...)
    Narr:	Emily ran through the house, quickly arriving in her room.
    Emily:	(What's wrong with me? Why was I...)
    Narr:	Emily buried her head in her pillow, letting out a few conflicted tears.
    Narr:	Standing on the deck, you take a deep breath of the fresh nighttime air.
    Me: 	*Sigh* (I should be nicer to her tomorrow...)
    Me: 	(Otherwise, I'll never figure out what happened that night.)
Narr:	Now back in your room after your late-night talk with Emily...
Narr:	You immediately hop into bed.
Me: 	*Yawn* (I'm exhausted.)
Me: 	(Another long night is over.)
Me: 	(And, tomorrow will be a long day, I'm sure of that.)
Narr:	As you think about tomorrow, your eyelids grow heavier.
Me: 	*Yawn*
Narr:	Your thoughts slow as sleep takes you.
Narr:	You sleep like a log through the night.
Narr:	Awoken by the morning sunlight, you feel well-rested.
Me: 	*Yawn* I feel...
Me: 	Surprisingly great, actually.
Me: 	I finally got a good night's sleep.
Me: 	(Pretty easy when Eve isn't assigning me early-bird chores...)
Narr:	You get dressed and make your way onto the landing.
Me: 	(Hmm... It doesn't sound like anyone else is up yet.)
Me: 	(What time is it anyway?)
Narr:	Continuing downstairs, and walking into the kitchen, you're greeted by...
Narr:	...an empty room.
Me: 	(I guess everybody is sleeping in.)
Me: 	(Is there any coffee?)
Narr:	You go over to the coffee maker, noticing the empty pot.
Me: 	(Guess not.)
Me: 	(Looks like Eve is still asleep too.)
Me: 	(That is a bit strange for Eve...)
Me: 	(Ah, whatever.)
Me: 	(I guess everybody needs their beauty sleep sometimes.)
Narr:	Your focus returns to the coffee machine.
Me: 	(Guess I better make the coffee myself.)
Narr:	You push the button, and coffee begins dripping into the pot.
Me: 	(Oh thank Christ, the machine was pre-loaded.)
Me: 	(I've been gone so long...)
Me: 	(...I have no idea where they keep the coffee, now.)
Me: 	(I probably would've gone coffee-less if it wasn't waiting, ready to go.)
Me: 	(Thanks, Eve.)
Narr:	The coffee machine stops whirring.
Narr:	And, the red indicator light turns off.
Me: 	Coffee time.
Narr:	You pour yourself a hot cup of coffee.
Me: 	Mmm. Smells delicious.
Narr:	Sipping your coffee, you gaze out the window.
Narr:	Questions about your investigation cross your mind.
Me: 	(I need to solve this thing...)
Me: 	(...so I can finally move on.)
Narr:	Suddenly, Kiara shows up in the kitchen.
Narr:	Interrupting your contemplation.
Kiara:	Morning, Dennis!
Me: 	Ah!
Me: 	*Chuckle* You surprised me, Kiara.
Kiara:	Looks like you were lost in thought.
Kiara:	Or, is the coffee just that good?
Narr:	Kiara goes over to the pot, and helps herself to a cup of joe.
Narr:	As she does...
Narr:	You consider asking her about the rope under her bed.
Me: 	(This is my chance to--)
Narr:	Unfortunately, your moment is spoiled by Eve.
Eve:	Good morning, you two.
Me: 	Morning, Eve.
Kiara:	Morning!
Me: 	(She always shows up at the worst time...)
Narr:	Eve swiftly makes her way to the fridge.
Narr:	She takes out some yogurt and fruit.
Eve:	A quick breakfast this morning.
Narr:	Not a moment later, Emily arrives in the kitchen.
Narr:	She still seems like she's waking up.
Emily:	*Yawn* Morning, peeps.
Eve:	Peeps? Morning, Emily.
Narr:	Emily looks over at you and smiles.
Narr:	She then shifts her gaze to Kiara and makes a face.
Kiara:	Hmph.
Eve:	Everybody, grab some coffee and breakfast.
Eve:	We'll be starting soon.
Narr:	Everybody grabs some fruit and yogurt.
Narr:	And those who haven't already poured themselves coffee, now do.
Narr:	Sitting at the table, now, everyone waits for Eve to begin.
Eve:	Okay. Thanks everyone.
Eve:	Good morning, again.
Eve:	Today is another big day...
Eve:	The patients will be busy, most of the day...
Eve:	But, we will have a bit of a shindig this evening.
Eve:	We're going to have a barbecue this evening.
Eve:	However, that's the bookend for a day of intensive therapy.
Me: 	(What the hell is Eve going to do to them?)
Kiara:	Intensive?
Emily:	Sounds stressful.
Eve:	Well, for some patients it may be.
Eve:	I suppose...
Eve:	That all depends on the results of their pre-evaluations. 
Eve:	That's the first course of action.
Eve:	Throughout the day they'll have individual therapy...
Eve:	Determined by the results of their pre-evaluations.
Eve:	Does that make sense to you guys?
Eve:	Mostly, the task will be escorting them here and there.
Eve:	Kiara. You'll go to the city to get things for the barbecue.
Eve:	Emily, and Dennis...
Eve:	You'll be in charge of accompanying the girls, today.
Me: 	(Are we really just glorified chauffers?)
Eve:	Does everyone understand their tasks?
Me: 	Yes.
Emily:	Yep, all clear.
Kiara:	Toss me the keys, and I'll be on my way.
Narr:	Eve tosses the keys to Kiara...
Narr:	She catches them gracefully, and slips them into her pocket.
Me: 	(Damn, she's good.)
Narr:	Kiara stands up from her seat at the table.
Kiara:	See you guys later.
Kiara:	I shouldn't be gone too long.
Narr:	She smiles at you while walking toward the front door.
Me: 	See you.
Emily:	Hrmph.
Eve:	Please don't crash the car...
Kiara:	That's something Dennis would do, not me!
Me: 	Ha-ha... (She sure is playing it cool...)
Me: 	(If she's hiding anything, she's hiding it well.)
Eve:	You two.
Eve:	Please, go get the girls and bring them back here.
Emily:	Where?
Eve:	Out behind the Community Area, to the deck.
Emily:	Okay! See ya soon.
Eve:	You better get going too, Dennis.
Me: 	I was just about to.
Me: 	See you soon.
Eve:	Bye, Dennis.
Narr:	You stand up from your seat at the table,
Narr:	and head for the front door.
    Narr:	Approaching Emily...
    Narr:	She suddenly grabs your wrist, and skips out the front door...
    Narr:	...yanking you with her.
    Me: 	Hey!
    Emily:	*Giggle* There's no time to waste!
    Narr:	Emily keeps yanking your wrist while dragging you onto the path.
    Narr:	Out on the path, you break her hold on your wrist.
    Me: 	(Ouch, she gave me an Indian burn...)
    Me: 	Why are you so excited all of a sudden?
    Emily:	Because I get to hang with you!
    Emily:	(And because she's gone.)
    Me: 	So, uhh...
    Me: 	You sleep well?
    Emily:	Thanks for asking. I did, actually.
    Emily:	Especially after our conversation.
    Narr:	Emily winks at you, smiling.
    Me: 	*Chuckle* What's that supposed to mean?
    Emily:	It means we'll solve this...
    Emily:	We'll get the evidence to catch "K."
    Me: 	I'm sure we will... partner.
    Narr:	Emily's eyes light up upon hearing this.
    Narr:	She smiles and skips the rest of the way to the campground.
    Narr:	Soon, both of you arrive at the girls' campground.
    Emily:	We're here!
    Narr:	Emily skips ahead of you, toward the cabins.
    Narr:	As you follow Emily, she keeps her distance.
    Me: 	Em, wait up!
    Narr:	Outside on the path, Emily keeps walking ahead of you.
    Narr:	However, you pick up the pace and catch up to her.
    Me: 	Emily...
    Me: 	Are you still upset about last night?
    Emily:	Hrmph. What if I am?
    Me: 	You can't stay mad at me forever...
    Emily:	So I should just stop right now?
