Me: 	What's wrong with you!?
            Me: 	You're right, Em. I should've spent more time with you.
            Me: 	But, it's not too late to make up for lost time, you know?
        Me: 	It's best we get going now.
        Emily:	Yeah, let's.
        Narr:	She seems pleased by your conversation and continues twirling down the path as you walk together.
        Narr:	You can see her smiling out the corner of your eye.
        Narr:	As you arrive, an all familiar sight replays before your eyes.
        Emily:	*Deep inhale*
        Emily:	GOOOOOOOOD MOOOOOORNING, CHICAAAAS!!!
        Emily:	WAKEY WAAAAKEY!!!
        Narr:	But, this time, the girls don't emerge from their cabins.
        Emily:	Hmm.
        Narr:	Emily takes a deep breath, readying herself for the second round.
        Me: 	Emily, don't. They're probably still asleep. I'd rather not wake them up like that.
        Me: 	Also, look! Violet is already doing her morning routine on the dock.
        Emily:	*Yells* Violet!
        Me: 	Haha, go check on her if you want, I'll go wake up others.
        Emily:	Okay, meet you back here when they're all up.
        Narr:	Emily hurries toward the dock with unmatched speed and you're presented with a choice.
        Me: 	(Hmm... I could go and check on the girls, make sure they're up and getting ready?)
        Me: 	(Or join Emily and Violet on the dock?)
            Me: 	(Or I could go and see what Eve needs to see me about.)
                Me: 	(I better go and wake the girls up if they're asleep. Eve won't like it if we're tardy.)
                    Me: 	(Where to go, where to go?)
                    Me: 	(Naomi's getting ready, best I leave her to it.)
                    Me: 	(I'm not gonna rush them. Stacy still looks distressed by the dream she had and Belle is taking care of her.)
                            Me: 	(I better go and wake the girls up if they're asleep. Eve won't like it if we're tardy.)
                            Me: 	(Where to go, where to go?)
                            Me: 	(I'm not gonna rush them. Stacy still looks distressed by the dream she had and Belle is taking care of her.)
                        Me: 	(If Violet's on the dock, Naomi's alone in their cabin.)
                        Me: 	(She's probably still asleep.)
                        Me: 	(Naomi's definitely less of a handful then Stacy or Belle... Especially Belle.)
                            Me: 	(Stacy... I'm not ready to open that can of worms yet.)
                            Me: 	(Best I go see Naomi first. Who knows what I might stumble upon in Cabin 2.)
                        Narr:	You knock, hoping it will wake Naomi up.
                        Narr:	She stirs in her bed, but yeah, she's still sound asleep.
                        Narr:	You'll have to take a more direct approach.
                        Me: 	(Oh well, I'm going in.)
                        Me: 	(It's almost a shame I have to wake her up. She looks to be blissfully asleep.)
                        Me: 	Naomi...?
                        Naomi:	Mmmm...
                        Me: 	Morning, beautiful.
                        Me: 	How'd you sleep?
                            Naomi:	It would be an understatement to say I had a rough night.
                            Me: 	It was rough?
                            Naomi:	*Smiles* Just the right amount.
                            Me: 	Right amount sounds just about... right.
                            Naomi:	*Laughs* Oh my god, Dennis, I really get you flustered, huh?
                            Narr:	The silk caresses her porcelain skin, gliding seamlessly across it.
                            Narr:	You can't help admiring her, and she knows it.
                            Naomi:	You're here because you can't get enough of me, huh?
                            Naomi:	Or because of some other unbelievable reason?
                            Naomi:	*Stretches* Goood.
                            Naomi:	Violet went for her nightly walk, and I sat on the cabin stairs and looked at the lake before going to bed.
                            Me: 	Had a stare down with the Lady of the Lights?
                            Naomi:	*Chuckles*
                            Naomi:	I often find inspiration in those tranquil moments.
                            Naomi:	The best ideas come to me when I'm unburdened by everyday's issues.
                            Naomi:	But, why are you here, Dennis?
                            Naomi:	Came here to deliver me a wake up call?
                        Me: 	You didn't hear Emily yelling outside? On several occasions?
                        Me: 	We're supposed to get you up, and you're supposed to meet with Eve at the Community area.
                        Naomi:	Oh, what is it now?
                        Me: 	Wasn't she here earlier?
                        Naomi:	Oh, I was asleep when she came by. I bet Violet knows what she said.
                        Me: 	Well, I have to bring all of you to the Community area.
                        Naomi:	It's probably another session. Or, even worse, a group activity.
                        Me: 	I thought you were getting more open to those. At least, you were, back when we were telling campfire stories.
                        Naomi:	That was different. I was in my element and excited to share a story I had.
                        Naomi:	But, Red Rover? Bleh...
                        Me: 	I really doubt it's something like that. Eve's not one to rehash activities.
                        Naomi:	What about having sandwiches as almost every meal of the day?
                        Me: 	Haha, okay, you got me there.
                        Me: 	But I assure you, today we'll have something different on the menu.
                        Naomi:	Change is good, don't you agree, Dennis?
                        Me: 	Change is not something we should be afraid of, even though it can be terrifying. We're talking about the menu here...
                        Naomi:	I think I've changed...that being here, in the camp, changed me.
                        Me: 	(Strange segue, but let's see where she's going with this.)
                        Naomi:	You've been a big help, I'll admit that.
                        Naomi:	Do you think I've changed?
                            Me: 	I believe it's time for you to change into some clothes.
                            Me: 	I'd rather not keep Eve waiting.
                            Me: 	We can always talk about it later?
                            Naomi:	(I know I should be livid that he's talking to me like this, but I'm not. Hmm, guess I did change.)
                            Naomi:	Sure thing, Dennis, if we have time.
                            Me: 	Naomi... I think you've finally shown me the real you over the past couple of days.
                            Me: 	And I very much like the Naomi I've come to know.
                            Naomi:	*Blushes*
                            Me: 	When you first arrived, you acted spoiled and arrogant.
                            Me: 	Do you remember the first thing you said to me?
                            Naomi:	Haha yeah, that you're kinda hot.
                            Naomi:	And I even mistook you for a patient here.
                            Me: 	You didn't just want my attention. You wanted everyone to pay attention to you.
                            Me: 	And then you were incredibly rude to Violet.
                            Naomi:	I remember... I was cruel to her on several occasions.
                            Naomi:	Not to mention when we just started to be roomies.
                            Naomi:	But, we talked and we've made amends. I would even call her a friend now.
                            Me: 	See? You don't have to wonder whether you've changed, you did!
                            Me: 	Old Naomi wouldn't give Violet a second glance.
                            Naomi:	That's true. She's not really the kind of person I usually associate with.
                            Naomi:	Even though it was hard to believe when we first met, you helped me realize how wrong I could be.
                            Naomi:	Not just about Violet. Other things, too.
                            Me: 	What other things?
                            Naomi:	About my parents, I guess. Particularly, my mom.
                            Naomi:	I know I said some things about her, things that I shouldn't have said.
                            Naomi:	I hated her. Hated how she treated my dad...and how she treated me.
                            Me: 	It's good you recognize those feelings and voice them.
                            Naomi:	I'm telling you this because I trust you, Dennis. Not because I need therapy advice.
                            Naomi:	Leave that to Dr. Eve.
                            Me: 	(Ouch.)
                            Naomi:	You've been here for me in more ways than one.
                            Naomi:	And I appreciate it.
                            Naomi:	Thanks for sticking with me. I know I was a queen beetch sometimes.
                            Me: 	Who, you? Never.
                            Naomi:	I've started writing stories, you know?
                            Me: 	Isn't that something you've been doing for some time now?
                            Me: 	Writing, that is?
                            Naomi:	I have, but I never thought of it as something serious.
                            Naomi:	But, this camp has been... inspiring.
                            Me: 	That's one way to describe it.
                            Naomi:	No, really, it has.
                            Naomi:	Our daily routine can sometimes be so mundane and boring that I often find myself drifting away.
                            Naomi:	And getting lost in my imagination and ideas.
                            Naomi:	So I decided to write some of them down.
                            Me: 	Oh, you started writing a book?
                            Naomi:	A collection of short stories.
                            Naomi:	It's gonna be called "Red Falls".
                            Me: 	Gotta say, the title has a ring to it.
                            Naomi:	*Laughs*
                            Me: 	*Laughs*
                            Narr:	Her touch sends jolts of excitement throughout your body. The way she touches you, the way she looks at you...
                            Narr:	It's different. She's different.
                            Narr:	She's as beautiful as ever, but she carries herself differently.
                            Narr:	Unlike before, the confidence she's displaying now feels authentic. Naomi is being real with you. Honest and open.
                            Narr:	And she wants you. As much as you want her.
                            Narr:	You graze her glossy lips with yours and settle on them for a few seconds, planting small kisses.
                            Narr:	Her flower-scented perfume dominates the room as you breathe it in.
                            Narr:	She intertwines her fingers with yours and kisses you back.
                            Naomi:	You're quite the kisser.
                            Me: 	You know I can't resist your sweet lips.
                            Naomi:	Oh, stop it, Dennis!
                            Naomi:	*Muffled groan*
                            Narr:	While Naomi has her hands wrapped around you in a sweet embrace, you put yours on her slim waist.
                            Naomi:	Mmm, okay.
                            Naomi:	I like what you're thinking.
                            Me: 	And how would you know what I'm thinking?
                            Naomi:	You have a gorgeous woman on top of you.
                            Me: 	Mhm...
                            Naomi:	Is there any other train of thought you could be having right now?
                            Naomi:	I know I see only one way this could go down.
                            Me: 	Yeah?
                            Naomi:	*Smiles* A-ha.
                            Me: 	Am I on the right track?
                            Naomi:	We'll see... if you keep going...
                            Narr:	You gently squeeze her breast, running your fingers almost carelessly around her nipple. It gets hard really fast.
                            Naomi:	Mmmm... Impressive.
                            Naomi:	There's no use in leaving this on, then.
                            Narr:	Naomi surprises you with yet another one of her 180s and takes your shirt off!
                            Narr:	She then kisses your neck, hot breath lingering on your skin...
                            Narr:	And starts grinding on you. Hard.
                            Narr:	She is moving along the length of your cock, pausing for a moment each time she reaches the tip.
                            Narr:	Violet's lips, which had your cock in a tight grip, soften, evidently satisfied.
                            Narr:	Without a second thought, you pull her closer to you.
                            Naomi:	Ohh.
                            Naomi:	Impatient, are we?
                            Naomi:	Mmm.
                            Naomi:	Ahh, mmm.
                            Narr:	You suck on her nipple, your tongue dancing around it, savoring how sweet she tastes.
                            Naomi:	*Soft moan*
                            Naomi:	Oooh, Dennis.
                            Narr:	She buries her head in your neck, kissing you and grinding on you harder as you suck on her nipples.
                            Naomi:	*Breathing low* Uuuuh.
                            Naomi:	This feels so good.
                            Naomi:	Mmm.
                            Me: 	I love how you taste, Naomi.
                            Narr:	As Naomi sits down on your rock-hard erection, still grinding on you and feeling you up, a wide smile appears on her face.
                            Naomi:	Ooh, mmm.
                            Naomi:	Someone's eager.
                            Me: 	Very much.
                            Naomi:	Are these turning you on?
                            Me: 	A pair of beautifully shaped, delicious tasting tits?
                            Me: 	You turn me on Naomi.
                            Me: 	You're stunning. I can't get enough of you.
                            Naomi:	Stunning, huh?
                            Naomi:	I believe those compliments, and your dedication to me, deserve a knighthood.
                            Me: 	I'm ready to be knighted...
                            Naomi:	Mmm.
                            Narr:	She applies pressure on your shaft, sending tingling sensations down your legs.
                            Me: 	*Low groan* Ahh, Naomi.
                            Me: 	Just...
                            Me: 	Uhhh.
                            Narr:	Naomi hungrily gazes at your member, radiating pure passion and hunger.
                            Narr:	Her soft yet decisive strokes become faster and faster.
                            Me: 	Ahhh, this... This feels amazing.
                            Naomi:	Shh, just enjoy it.
                            Me: 	Ohhh.
                            Naomi:	*Slurp*
                            Naomi:	*Suck*
                            Me: 	Oooh, fuck!
                            Me: 	Aahh.
                            Narr:	Your heart is about to jump out of your chest seeing how eagerly Naomi is sucking you off.
                            Naomi:	*Soft breath* Mmm.
                            Me: 	Oh god, Naomi.
                            Me: 	*Low grunt* Mmm.
                            Naomi:	I love how you feel in my mouth.
                            Me: 	I love how your mouth feels.
                            Me: 	Damn...
                            Me: 	Keep on doing that and you'll make me cum really fast.
                                Naomi:	*Smiles* I see nothing wrong with that.
                                Me: 	Oh shit!
                                Me: 	Mmph... Fuck...
                                Me: 	*Grunt*
                                Naomi:	*Slurp*
                                Naomi:	Mmmm..
                                Me: 	*Pant*
                                Naomi:	I wanna feel you deep inside my mouth.
                                Naomi:	Your whole length and girth.
                                Naomi:	All of you...
                                Narr:	She prompts you to stand up, your cock twitching in anticipation.
                                Narr:	And, as she's slowly swallowing your length, she grabs your hips and pushes you deeper into her mouth.
                                Me: 	Fuuuuuuck...
                                Naomi:	Hnnnnghhh.
                                Narr:	She looks up, her gray eyes meeting yours.
                                Me: 	*Pant* You're so fucking beautiful, sucking on my cock.
                                Naomi:	Mmmhmmm.
                                Me: 	It feels so good, being so deep in your warm mouth.
                                Naomi:	*Gasp*
                                Narr:	Naomi gasps for air, a thin trail of saliva still lingering on her lips.
                                Me: 	Naomi, you okay?
                                Naomi:	*Pant* Yeah... You're so big...
                                Me: 	We can stop if you wanna.
                                Naomi:	I don't ever wanna stop. I need to feel you more!
                                Me: 	*Smiles* You're spoiling me, Naomi.
                                Me: 	Yea', that's it...
                                Me: 	You feel so... *thrusts* good!
                                Narr:	With Naomi's hands now free, she starts pleasuring herself, heaving from the pleasure of having your cock in her mouth.
                                Narr:	She fingers herself, her delicate fingers burrowing deep.
                                Me: 	Fuck, you're so hot.
                                Me: 	Just looking at you... It's making it hard for me not to cum.
                                Naomi:	Cum for me, Dennis.
                                Naomi:	Let me have a taste.
                                Narr:	Naomi resumes sucking you off with ravenous zeal, every now and then deep throating you.
                                Narr:	You struggle to prolong the pleasure and delay the inevitable.
                                Me: 	*Grunt*
                                Me: 	Fuuuck!
                                Narr:	But, you can't hold it in anymore and you release your huge load inside Naomi's mouth.
                                Narr:	She takes it all, sucking every last drop, until your cock stops twitching inside her mouth.
                                Me: 	Hnnnn..
                                Naomi:	*Gulp*
                                Me: 	Uhhh. Fuuck...
                                Me: 	And I still wanna see that "killer" pussy of yours.
                                Naomi:	What are you waiting for then?
                                Me: 	I do have something in mind.
                                Narr:	In this position, Naomi is able to fit more of your length in her mouth and does that with increased vigor.
                                Narr:	You're buried deep in Naomi's ass, and, as you're licking her pussy, you feel her shaking slightly, approaching orgasm.
                                Me: 	*Lick* *Lick*
                                Naomi:	*Sigh of pleasure*
                                Me: 	You taste like bliss, Naomi.
                                    Me: 	You taste like bliss, Naomi.
                                        Naomi:	Yes, yeees!
                                        Naomi:	Uhmm. *loud moan*
                                        Narr:	Slowly and steadily, you're finding your way to its center, working your tongue right on her sweet spot.
                                        Naomi:	Ohhh, Dennis.
                                        Naomi:	My god...
                                        Naomi:	Mmmm!
                                        Narr:	Encouraged, you start circling the outer edges of her pussy with your tongue, giving her a lick that envelops her whole pussy, every now and then.
                                        Naomi:	I'm--
                                        Naomi:	Really--
                                        Naomi:	Close.
                                        Naomi:	You?
                                        Me: 	Uhmm.
                                        Narr:	The grip on your shaft suddenly tightens as Naomi jerks you off and sucks on your tip vigorously.
                                        Narr:	She's swallowing more of your cock each time.
                                        Me: 	*Pant*
                                        Me: 	Ahhh.
                                        Naomi:	Ahhh!
                                        Naomi:	Oooh!
                                        Naomi:	Don't... stop...
                                        Naomi:	Aahhh!
                                        Narr:	Naomi reaches her climax, jerking you off and sucking on your tip with incredible pressure.
                                        Narr:	You're about to blow as she starts to shake, almost violently, burying your face deeper into her pussy in the process.
                                            Narr:	You're about to blow as she starts to shake, almost violently, burying your face deeper into her pussy in the process.
                                        Naomi:	*Gasp*
                                        Naomi:	Dennis! Hgnhhhh...
                                        Narr:	You both experience further regions of ecstasy, your tongue circling around her hole, then going deep.
                                        Narr:	Your combined moans and grunts fuse into a beautiful symphony of pleasure.
                                        Naomi:	Yes, yeees!
                                        Naomi:	Uhmm. *loud moan*
                                        Naomi:	Ohhh, Dennis.
                                        Me: 	*Pant*
                                        Me: 	Ahhh.
                                        Naomi:	Mmmm!
                                        Naomi:	I'm--
                                        Naomi:	Really--
                                        Naomi:	Close.
                                        Narr:	The grip on your shaft suddenly tightens as Naomi jerks you off and sucks on your tip vigorously.
                                        Narr:	She's swallowing more of your cock each time.
                                        Me: 	*Grunt* Uhmm.
                                        Naomi:	Ahhh!
                                        Naomi:	Oooh!
                                        Naomi:	Don't... stop...
                                        Naomi:	Aahhh!
                                        Narr:	Naomi reaches her climax, jerking you off and sucking on your tip with incredible pressure.
                                        Narr:	You're about to blow as she starts to shake, almost violently, burying your face deeper into her pussy in the process.
                                            Narr:	You're about to blow as she starts to shake, almost violently, burying your face deeper into her pussy in the process.
                            Naomi:	That was... Oh my god...
                            Me: 	Glad I could be of service to you, my lady.
                            Narr:	She props herself up on one elbow and just looks at you.
                            Narr:	She is so close, you can hear her shallow breath and feel her racing heart against your ribs.
                            Me: 	(She's so beautiful.)
                            Naomi:	I've never been like this before, you know?
                            Me: 	What do you mean?
                            Naomi:	I mean... I'm used to finer things in life and being served things on a "silver platter."
                            Naomi:	This was the first time in... forever, that I've put myself second.
                            Naomi:	It's you, Dennis.
                            Naomi:	*Smiles* It's funny...
                            Me: 	What is?
                            Naomi:	When I first came to camp, I hated it, and I found joy only in teasing you.
                            Me: 	Like I could forget. You were ruthless.
                            Naomi:	Well, I consider that one of my qualities. But, yeah, it was fun messing with you.
                            Naomi:	And, along the way, I've actually warmed up to you.
                            Naomi:	You showed interest in my past, my interests, even my writing.
                            Naomi:	I almost forgot how it feels when someone genuinely cares about you...
                            Naomi:	It's refreshing.
                            Narr:	You both lie still, enjoying the moment. Time passes and you realize...
                            Me: 	Oh shit, we're supposed to get back to the house. Eve needs to see you all.
                            Naomi:	Now?
                            Me: 	Yes, now! Sorry, but we better hurry.
                            Naomi:	Okay, okay, give me a minute to freshen up and get dressed. Then, we'll get going.
                            Me: 	(I better go and wake the girls up if they're asleep. Eve won't like it if we're tardy.)
                            Me: 	(Where to go, where to go?)
                            Me: 	(Naomi's getting ready, best I leave her to it.)
                        Me: 	(With Violet on the dock, Naomi is probably taking the opportunity to catch more shut-eye. I better leave her to it.)
                        Me: 	(But, I should probably go and check on Stacy and Belle.)
                        Stacy:	M-my Ashen Prince.
                        Me: 	(She was distraught the whole day yesterday.)
                        Me: 	(She can't be sleeping soundly. I know I'm not.)
                        Me: 	(Where's Stacy?! I walked her all the way back last night!)
                        Narr:	Before you completely and unjustifiably surrender to panic, your eyes drift toward Belle's bed.
                        Narr:	And there they are. Stacy and Belle are sharing the bed.
                        Narr:	They both seem to be sound asleep as Belle holds Stacy in a tender embrace.
                        Me: 	(Did they have sex?)
                        Me: 	(Belle did say she was going to make it up to Stacy... She probably meant like this.)
                        Me: 	(So, once I walked her back, Belle must have sprung up on her...)
                            Narr:	You remember how Belle snuck into your room last night.
                            Me: 	(How insatiable can one be? After being with me, she was with Stacy?)
                            Me: 	(And I know Stacy has a thing for Belle.)
                            Narr:	Your mind starts racing, images of Stacy and Belle together running through your mind.
                            Narr:	You know how both of them can be, and they make for one hot pairing.
                            Me: 	(Wouldn't mind being caught in between that sandwich.)
                        Me: 	(But, how did they hide from Eve when she came to see them this morning?)
                        Me: 	(Doesn't matter, they've had their fun. It's time to wake them and get them up to speed.)
                        Me: 	Good morning, chicas!
                        Narr:	You flinch as you realize what you just said.
                        Me: 	(Oh my god, did I just pull an Emily?)
                        Belle:	Oh, hey, handsome. Came to join us?
                        Narr:	With a mischievous smile, Belle runs her slender fingers across Stacy's arm.
                        Narr:	You're almost tempted by the offer.
                        Me: 	Eve was here earlier and told you about today's schedule, right?
                        Belle:	Oh, right, she did say something.
                        Belle:	But I didn't pay attention to what she was going on about.
                        Belle:	She's looking quite tasty today, don't you agree, Dennis?
                        Narr:	Yes, yes she is.
                        Me: 	Not even gonna dignify that with a response.
                        Belle:	*Smiles* But, you just did.
                        Narr:	Your back-and-forth bickering wakes Stacy up.
                        Stacy:	Ashen... Prince?
                        Narr:	Belle's demeanor suddenly changes. She embraces Stacy and lulls her back to sleep as she slowly awakens.
                        Belle:	Shhh, it's okay, Stacy. Dennis came to see how you're doing.
                        Belle:	He was also concerned about you.
                        Me: 	(How would she know that?)
                        Me: 	*Whispers* What happened?
                        Stacy:	Mhmhmhmm...
                            Belle:	After our "experience", I returned to the cabin. Stacy wasn't there.
                            Me: 	Yes, I know. I saw her wandering around the campground and walked her back here.
                            Belle:	And you didn't stop to say hi? A real shame, Dennis. Maybe we could've had more fun.
                            Me: 	Belle, you're deviating from what happened.
                            Belle:	You know me, I'm a deviant.
                            Belle:	After you escorted her here, I apologized for my behavior and then we went to sleep.
                            Belle:	I decided to spend some alone time in the cabin. Since you were preoccupied.
                            Belle:	Stacy vanished after she got mad at me and Naomi.
                            Belle:	And she did not return until later in the night.
