Me: 	*Mumbles* Whazza... Huh? Where am I?
    Me: 	Yesterday, what did we do?
    Stacy:	But, we weren't together yesterday.
    Me: 	That wasn't you? At the campfire?
    Stacy:	Who else, silly?
    Me: 	Get your story straight!
    Me: 	Were we together last night or not!?
    Stacy:	Why are you yelling at me?
    Me: 	I... I'm not...
    Stacy:	Yes, we had lots of fun. 
    Stacy:	*Chuckle* LOTS of fun.
    Me: 	Stacy? Stacy!? What did we do!?
    Stacy:	The Community Area, right?
    Narr:	Stacy turns off the lighter, pockets it...
    Narr:	And leaves.
    Me: 	(What the fuck just happened!?)
    Me: 	(And what the fuck happened yesterday!?)
    Me: 	(I found her there and I remember a weird smell...)
    Me: 	...
    Me: 	(I can't, my mind's a blank.)
    Me: 	*Sigh* (Whatever, I have to wake up Belle anyway.)
    Me: 	(Amazing that she's still asleep after all this ruckus.)
    Narr:	Approaching Belle's bed...
    Me: 	Belle, wake up.
    Belle:	...
    Narr:	Unsure what else to do, you try nudging her a bit.
    Me: 	Hey, Belle, come on.
    Me: 	It's time for your first briefing...
    Me: 	Get up!
    Belle:	...
    Me: 	(Is she fucking with me?)
    Narr:	This time, you nudge her harder, almost shaking her.
    Me: 	"This is your mother speaking, you are late for school, young lady!"
    Belle:	*Mumbling* Nooo...
    Narr:	As you try waking her up, Belle turns.
    Narr:	Spreading her arms and legs.
    Me: 	Holy-- (Her tit fell out...)
    Me: 	(What's with sleeping girls and their tits? Do all girl's tits fall out when they sleep?)
    Me: 	(Although, I wouldn't mind squeezing those beauties for a bit...)
            Narr:	Does Belle have her dildo?
    Me: 	(What's...)
    Me: 	*Gasp* (WAIT, WHAT!?!)
    Me: 	(Is that a... Is that a...)
    Me: 	(A DILDO INSIDE HER!?!)
    Me: 	(SHE HAD A DILDO INSIDE HER ALL NIGHT LONG?!)
    Belle:	*Gentle snore*
    Me: 	(How can you fall asleep like that!?)
    Me: 	(Shit, what do I do with her now?)
    Me: 	...
    Me: 	(She looks so kinky with that thing sticking out of her...)
        Me: 	(What would happen if I gave it a little push?)
            Me: 	(No, I shouldn't...)
            Me: 	(I really, really, REALLY shouldn't.)
            Me: 	...
            Me: 	(But I'll do it anyway...)
            Me: 	(It's just sitting there...)
            Me: 	(All alone and vulnerable...)
            Me: 	(I can't help myself.)
            Me: 	(Okay, just a small nudge. That's all. Then I'll leave.)
            Narr:	Nervously, you extend your arm toward her stuffed pussy...
            Narr:	Gently, you poke the dildo and...
            Narr:	Nothing happens. No reaction out of Belle.
            Me: 	(I should've expected something like that wouldn't get her going.)
            Me: 	(Then what if I...)
            Narr:	Putting your fingers on the bottom of the dildo...
            Narr:	You slowly push it in.
            Belle:	*Soft moan*
            Me: 	(Holy shit! It's actually going in so easily!?)
            Me: 	(Into that greedy pussy of hers...)
            Narr:	Suddenly, you notice Belle start squirming a bit.
            Narr:	Afraid she might wake up at any moment, you pull back your hand.
            Narr:	As you do, the pressure pushes the dildo back out.
            Narr:	Only this time, it doesn't stay partially inside her...
            Narr:	It softly slips out of her with a surprisingly sensual sound.
            Narr:	Frozen in time, you simply appreciate what you just witnessed.
            Me: 	(I'm speechless...)
            Me: 	(This was pretty amazing.)
            Me: 	(Still, I should get the fuck out of here. I pushed my luck far enough as it is.)
            Me: 	(Just imagine her waking up, and seeing me creeping on her...)
            Me: 	(Even though she'd probably enjoy it...)
            Narr:	You take another look at this lewd image, lest you forget.
            Me: 	(Still, can't say it's not hot...)
            Narr:	Before leaving the cabin completely...
            Me: 	(No, I shouldn't... That wouldn't be fair to Jane.)
            Me: 	(Even though she IS spread like...)
            Me: 	(No, stop thinking that shit.)
            Me: 	...
            Me: 	(No, definitely not.)
            Me: 	(And I'm DEFINITELY NOT waking her up.)
            Me: 	(Just imagine waking her up, catching me creeping on her...)
            Me: 	(Even though she'd probably enjoy it...)
            Narr:	Before leaving the cabin completely...
            Narr:	You take another look at this lewd image, lest you forget.
            Me: 	(Still, can't say it's not hot...)
            Narr:	Before leaving the cabin completely...
    Me: 	(Guess I should go to the Community Area...)
    Me: 	(Guess I should go find the rest of them...)
    Narr:	As you approach the back deck of the Community Area, you notice Eve and the girls.
    Narr:	As you make it to the Community Area's patio, you notice Eve and the girls.
Eve:	Okay, everyone ready?
Violet:	Aren't we missing someone?
Stacy:	Belle.
Eve:	Yeah, where's Belle? [m!t]?
Me: 	Probably still sleeping.
Eve:	You didn't wake her up?
Me: 	It's impossible to wake her up. (Not to mention, borderline life-ruining.)
Eve:	You seriously think I believe that?
Me: 	Go ahead, you try and wake her up. Be my guest.
Eve:	I don't get it. Is something wrong?
Me: 	Yeah, you could say so.
Eve:	What is it?
Me: 	I'd rather not say out loud.
Eve:	*Sigh* Alright, give me a few minut-...
Belle:	Morning everyooone!
Eve:	Or not. (Jesus, she's barely wearing anything.)
Naomi:	(Slut...)
Belle:	The main attraction has arrived!
Narr:	Looking around, you notice unsatisfactory expressions on every face.
Narr:	Except Stacy, of course. She's having a blast in her own world.
Me: 	How did you even find us?
Belle:	Oh, come now, isn't it obvious?
Me: 	Not really, no.
Belle:	It's that manly musk of yours that drew me here. *Sniff* *Sniff*
Naomi:	Stop fucking around!
Belle:	Okay, okay... The camp is small, it wasn't difficult to find you.
Naomi:	That's not what I meant!
Belle:	You should really work on your communication skills if you want to get the point across.
Naomi:	Who the hell do you think you are?!
Naomi:	How dare you waste my precious time, you bitch?!
Naomi:	And the way you dress... Talk about a cry for help, revolting!
Belle:	Sounds like someone doesn't feel comfortable in their skin.
Naomi:	I'll kick your ass so--
Eve:	QUIET!
Eve:	Violent behavior will earn you a one-way ticket out of camp!
Naomi:	*Scoff* (She'd deserve it...)
Belle:	Ha-Ha!
Eve:	ENOUGH!
Eve:	That includes you too!
Eve:	Lack of respect for your fellow patients and staff... Unacceptable!
Eve:	Learn to behave or there will be trouble.
Belle:	Yes, ma'am...
Eve:	Good. Glad you understand.
Eve:	Now, we need to deal with your... choice of fashion.
Eve:	I'll accompany you to your cabin.
Eve:	And, if you haven't brought adequate clothes with you, well...
Eve:	We'll just supply you with some of our spare clothes.
Belle:	*Sarcastic* Oh no, the tragedy.
Eve:	Boring, desexualizing, spare clothes...
Belle:	Noooo! Don't make me look mediocre, anything but that!
Eve:	If you want to look pretty, I suggest you find something suitable for the occasion.
Belle:	Yes, I will, on my way! Thank you!
Narr:	Belle rushes off to save her looks and charm.
Me: 	(Wow, Eve's scary. She straightened her out in less than a minute.)
Eve:	Anyway... I'll go "help" Belle.
Eve:	So, please wait just a little while longer.
Eve:	[m!t], keep the girls entertained. I'll be back soon.
Narr:	Everyone watches Eve walk away.
Narr:	And once she's no longer in sight...
Narr:	Their attention shifts elsewhere.
Me: 	(Great...)
Narr:	A while later...
Stacy:	And so, by the time I got out...
Stacy:	There was this giant squid coiling around my thigh.
Stacy:	It felt really pleasant, actually.
Naomi:	Hahaha, I-I-I can't... I can't breathe!
Me: 	Haha, you sick tentacle girl!
Violet:	Ewww! Isn't it, like, slimy and soft?
Stacy:	That's the whole point, Violet.
Stacy:	Oh, come on. Don't pretend like you NEVER thought of animals that way.
svi ...
Belle:	We're baaaack!
Belle:	Did you miss us?
Me: 	Partially...
Belle:	Only the good bits, I hope.
Eve:	Alright everyone, let's get inside and get comfortable, we're about to start.
Eve:	Not you, [m!ct]. This is for patients' ears only.
Me: 	Sooo, what should I do?
Eve:	You're free, for now.
Me: 	Cool. (Later, suckers!)
Narr:	Feeling good about yourself, you leave before Eve changes her mind.
Narr:	You enter the main house hoping to get some rest.
    Narr:	Entering the living room, you spot Kiara chilling on the couch, having a bowl of cereal.
    Me: 	Hey, Kiara.
    Kiara:	Oh, it's you.
    Me: 	You sound disappointed.
    Kiara:	I am.
    Me: 	...
    Me: 	Not enough dick to go around, huh?
    Kiara:	Go drool over the patients... you cheating bastard.
    Kiara:	You haven't seen Jane for two days, and you're already looking for a substitute.
    Me: 	Don't you dare bring Jane into this.
    Kiara:	Or what? Your feelings are going to get hurt?
    Kiara:	Truth hurts, you know.
    Me: 	Kiara, I'm bored out of my damn mind...
    Me: 	And the only people who are willing to spend time with me are the patients.
    Me: 	Unlike YOU, who's obviously avoiding me.
    Kiara:	That's mostly your fault.
    Me: 	Yeah, sorry you're not the hottest chick around anymore. 
    Me: 	I guess they fucked up everything for you, right?
    Me: 	I bet your ego hurts as much as your vagina itches.
    Kiara:	What?
    Me: 	Your ego h--
    Kiara:	Before that!
    Me: 	"Sorry you're not the hottest chick around anymore."
    Kiara:	You think I'm hot?
    Me: 	What is this? Am I talking to Emily all of a sudden?
    Kiara:	Well, you said it, and now I'm curious.
    Me: 	You two are so alike...
    Kiara:	Just answer the damn question!
    Me: 	*Sigh* Yeah, I think you are very, very pretty. Just like Emily.
    Me: 	Happy?
    Kiara:	*Chuckle* (Oh, she definitely heard the last part.)
    Me: 	What?
    Kiara:	Nothing, it's just... *Chuckle*
    Me: 	WHAT!?
    Narr:	Entering the living room, you spot Kiara chilling on the couch, having a bowl of cereal.
    Me: 	Hey, Kiara.
    Kiara:	Hey [m!ct], been busy?
    Me: 	Barely had breakfast.
    Kiara:	Everything's normal, then.
    Me: 	Don't tell me it's like this all the time...
    Kiara:	*Slurp*
    Me: 	Kiara?
    Kiara:	*Crunch*
    Me: 	It's like this all the time, huh?
    Kiara:	Yup.
    Me: 	*Sigh* Fuck.
    Kiara:	You'll get used to it.
    Me: 	I mean, the patients are cool, but why the hell does she need me here anyway?
    Kiara:	*Stare*
    Me: 	I'm sorry, I didn't mean to complain.
    Me: 	...
    Me: 	I'm sorry you had to put up with this shit-storm on your own.
    Narr:	For a moment, Kiara looks at you with the most loving eyes.
    Narr:	Then reverts to her previous state.
    Kiara:	*Silently* Thanks... That means a lot.
    Me: 	Kiara I--
Narr:	Suddenly, you hear loud footsteps behind you.
Emily:	BOMBS AWAAAAAY!
Me: 	Oooompf--
Emily:	Hello, [m!ct]. I missed you! (I need to iron out that last conversation, if I want him to think of me in a better light.)
Me: 	*Wheezing* Hi, Emily.
Emily:	I'm not that heavy, am I?
Me: 	*Still wheezing* No, no, feather-light...
Kiara:	Can't you be a bit more careful? (She always acts so childi--)
Emily:	Can't you be a bit more fun? (She's always such a bitc--)
Kiara:	You're mistaking annoyance for fun.
Emily:	And YOU'RE going to teach me the difference?
Me: 	(I better stay quiet...)
